frame= 1321 fps= 20 q=24.0 size=   18944KiB time=00:00:43.96 bitrate=3529.7kbits/s speed=0.677x elapsed=0:01:04.96    
frame= 1329 fps= 20 q=24.0 size=   18944KiB time=00:00:44.23 bitrate=3508.4kbits/s speed=0.675x elapsed=0:01:05.48    
frame= 1339 fps= 20 q=24.0 size=   19200KiB time=00:00:44.56 bitrate=3529.2kbits/s speed=0.675x elapsed=0:01:06.00    
frame= 1346 fps= 20 q=24.0 size=   19456KiB time=00:00:44.80 bitrate=3557.7kbits/s speed=0.674x elapsed=0:01:06.51    
frame= 1356 fps= 20 q=24.0 size=   19456KiB time=00:00:45.13 bitrate=3531.4kbits/s speed=0.673x elapsed=0:01:07.03    
frame= 1364 fps= 20 q=24.0 size=   19712KiB time=00:00:45.40 bitrate=3556.9kbits/s speed=0.672x elapsed=0:01:07.55    
frame= 1373 fps= 20 q=24.0 size=   19968KiB time=00:00:45.70 bitrate=3579.4kbits/s speed=0.671x elapsed=0:01:08.06    
frame= 1381 fps= 20 q=24.0 size=   19968KiB time=00:00:45.96 bitrate=3558.6kbits/s speed=0.67x elapsed=0:01:08.58    
frame= 1389 fps= 20 q=24.0 size=   20224KiB time=00:00:46.23 bitrate=3583.5kbits/s speed=0.669x elapsed=0:01:09.09    
frame= 1399 fps= 20 q=24.0 size=   20480KiB time=00:00:46.56 bitrate=3602.8kbits/s speed=0.669x elapsed=0:01:09.61    
frame= 1407 fps= 20 q=24.0 size=   20480KiB time=00:00:46.83 bitrate=3582.3kbits/s speed=0.668x elapsed=0:01:10.12    
frame= 1416 fps= 20 q=24.0 size=   20736KiB time=00:00:47.13 bitrate=3604.0kbits/s speed=0.667x elapsed=0:01:10.63    
frame= 1424 fps= 20 q=24.0 size=   20736KiB time=00:00:47.40 bitrate=3583.7kbits/s speed=0.666x elapsed=0:01:11.15    
frame= 1433 fps= 20 q=24.0 size=   20992KiB time=00:00:47.70 bitrate=3605.2kbits/s speed=0.666x elapsed=0:01:11.66    
frame= 1441 fps= 20 q=24.0 size=   21248KiB time=00:00:47.96 bitrate=3628.9kbits/s speed=0.664x elapsed=0:01:12.18    
frame= 1450 fps= 20 q=24.0 size=   21504KiB time=00:00:48.26 bitrate=3649.7kbits/s speed=0.664x elapsed=0:01:12.70    
frame= 1458 fps= 20 q=24.0 size=   21504KiB time=00:00:48.53 bitrate=3629.7kbits/s speed=0.663x elapsed=0:01:13.21    
frame= 1468 fps= 20 q=24.0 size=   21760KiB time=00:00:48.86 bitrate=3647.9kbits/s speed=0.663x elapsed=0:01:13.73    
frame= 1476 fps= 20 q=24.0 size=   21760KiB time=00:00:49.13 bitrate=3628.1kbits/s speed=0.662x elapsed=0:01:14.25    
frame= 1484 fps= 20 q=24.0 size=   22016KiB time=00:00:49.40 bitrate=3650.9kbits/s speed=0.661x elapsed=0:01:14.76    
frame= 1494 fps= 20 q=24.0 size=   22272KiB time=00:00:49.73 bitrate=3668.6kbits/s speed=0.661x elapsed=0:01:15.28    
frame= 1501 fps= 20 q=24.0 size=   22528KiB time=00:00:49.96 bitrate=3693.5kbits/s speed=0.659x elapsed=0:01:15.79    
